Vernacular;Family;Genus;Species
tossopassa mar‚cage;Myristicaceae;Iryanthera;hostmannii
chawari;Caryocaraceae;Caryocar;glabrum
maho cochon;Malvaceae;Sterculia;pruriens
wapa;Fabaceae;Eperua;falcata
man tapuhupa;Lecythidaceae;Lecythis;persistens
Eperua grandiflora;Fabaceae;Eperua;grandiflora
‚bŠne verte;Bignoniaceae;Tabebuia;insignis
maho rouge;Lecythidaceae;Lecythis;persistens
tossopassa mar‚cage;Myristicaceae;Iryanthera;hostmannii
wapa;Fabaceae;Eperua;falcata
maho cigare;Lecythidaceae;Couratari;multiflora
wapa;Fabaceae;Eperua;falcata
maho rouge;Lecythidaceae;Lecythis;persistens
wakapu gitin;Fabaceae;Recordoxylon;speciosum
kumanti udu;Apocynaceae;Aspidosperma;desmanthum
wapa;Fabaceae;Eperua;falcata
meli;Lecythidaceae;Eschweilera;congestiflora
wapa;Fabaceae;Eperua;falcata
wapa;Fabaceae;Eperua;falcata
lebi koko;Chrysobalanaceae;Licania;alba
bakuman;Sapotaceae;Micropholis;longipedicellata
weti koko;Putranjivaceae;Drypetes;variabilis
wan ede;Clusiaceae;Tovomita;sp.2CAY-ATDN
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
lebi koko;Chrysobalanaceae;Licania;alba
Moronobea;Clusiaceae;Moronobea;coccinea
agui;Fabaceae;Ormosia;stipularis
koko;Chrysobalanaceae;Licania;sprucei
balata pomme;Sapotaceae;Chrysophyllum;sanguinolentum
weti bakuman;Sapotaceae;Pouteria;engleri
diankatu;Celastraceae;Maytenus;oblongata
koko;Icacinaceae;Poraqueiba;guianensis
adugue;Myrtaceae;Eugenia;patrisii
kukuniefu;Clusiaceae;Garcinia;madruno
mapa;Apocynaceae;Lacmellea;aculeata
maho cochon;Malvaceae;Sterculia;speciosa
muamba;Annonaceae;Oxandra;asbeckii
mamadosu;Rubiaceae;Duroia;longiflora
wapa;Fabaceae;Eperua;falcata
weti udu;Euphorbiaceae;Mabea;piriri
maho rouge;Lecythidaceae;Lecythis;persistens
malobi;Sapotaceae;Pouteria;singularis
boliken koko;Chrysobalanaceae;Licania;heteromorpha
wapa;Fabaceae;Eperua;falcata
Eperua grandiflora;Fabaceae;Eperua;grandiflora
muamba;Annonaceae;Oxandra;asbeckii
aganananga;Malvaceae;Catostemma;fragrans
maho noir;Lecythidaceae;Eschweilera;coriacea
boco;Fabaceae;Bocoa;prouacensis
comou;Arecaceae;Oenocarpus;bacaba
maho cigare;Lecythidaceae;Couratari;multiflora
pepe boiti;Sapotaceae;Chrysophyllum;prieurii
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
lebi koko;Chrysobalanaceae;Licania;alba
kimboto;Sapotaceae;Pradosia;cochlearia
tossopassa montagne;Myristicaceae;Iryanthera;sagotiana
Eperua grandiflora;Fabaceae;Eperua;grandiflora
wapa;Fabaceae;Eperua;falcata
bofom peto;Dichapetalaceae;Tapura;capitulifera
muamba;Annonaceae;Oxandra;asbeckii
saint martin rouge;Fabaceae;Andira;coriacea
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
busi mango;Clusiaceae;Tovomita;sp.22CAY-ATDN
maho noir;Lecythidaceae;Eschweilera;sagotiana
